endpoint,state,zipcode
familyTotalExpensesR3,Georgia,31622
familyTotalExpensesR3,Georgia,30631
familyTotalExpensesR3,Georgia,39837
familyTotalExpensesR3,Georgia,30420
familyTotalExpensesR3,Georgia,31801
familyTotalExpensesR3,Georgia,31008
familyTotalExpensesR3,Georgia,30206
familyTotalExpensesR3,Georgia,30028
familyTotalExpensesR3,Georgia,30516
familyTotalExpensesR3,Georgia,39854
familyTotalExpensesR3,Georgia,30501
familyTotalExpensesR3,Georgia,39836
familyTotalExpensesR3,Georgia,31516
familyTotalExpensesR3,Georgia,30230
familyTotalExpensesR3,Georgia,30546
familyTotalExpensesR3,Georgia,31542
familyTotalExpensesR3,Georgia,30807
familyTotalExpensesR3,Georgia,30218
familyTotalExpensesR3,Georgia,31052
familyTotalExpensesR3,Georgia,30205
familyTotalExpensesR3,Georgia,39851
familyTotalExpensesR3,Georgia,31087
familyTotalExpensesR3,Georgia,30513
familyTotalExpensesR3,Georgia,30014
familyTotalExpensesR3,Georgia,30103
familyTotalExpensesR3,Georgia,31625
familyTotalExpensesR3,Georgia,30426
familyTotalExpensesR3,Georgia,31011
familyTotalExpensesR3,Georgia,30214
familyTotalExpensesR3,Georgia,30108
familyTotalExpensesR3,Georgia,30204
familyTotalExpensesR3,Georgia,30457
familyTotalExpensesR3,Georgia,31648
familyTotalExpensesR3,Georgia,30442
familyTotalExpensesR3,Georgia,31024
familyTotalExpensesR3,Georgia,31007
familyTotalExpensesR3,Georgia,31316
familyTotalExpensesR3,Georgia,39870
familyTotalExpensesR3,Georgia,31763
familyTotalExpensesR3,Georgia,30707
familyTotalExpensesR3,Georgia,30619
familyTotalExpensesR3,Georgia,30132
familyTotalExpensesR3,Georgia,31001
familyTotalExpensesR3,Georgia,31635
familyTotalExpensesR3,Georgia,31804
familyTotalExpensesR3,Georgia,31806
familyTotalExpensesR3,Georgia,31824
familyTotalExpensesR3,Georgia,31050
familyTotalExpensesR3,Georgia,30624
familyTotalExpensesR3,Georgia,30122
familyTotalExpensesR3,Georgia,39826
familyTotalExpensesR3,Georgia,31537
familyTotalExpensesR3,Georgia,31750
familyTotalExpensesR3,Georgia,30525
familyTotalExpensesR3,Georgia,30738
familyTotalExpensesR3,Georgia,30006
familyTotalExpensesR3,Georgia,30538
familyTotalExpensesR3,Georgia,31626
familyTotalExpensesR3,Georgia,31003
familyTotalExpensesR3,Georgia,30424
familyTotalExpensesR3,Georgia,30660
familyTotalExpensesR3,Georgia,30413
familyTotalExpensesR3,Georgia,39813
familyTotalExpensesR3,Georgia,30521
familyTotalExpensesR3,Georgia,31036
familyTotalExpensesR3,Georgia,30216
familyTotalExpensesR3,Georgia,30170
familyTotalExpensesR3,Georgia,30517
familyTotalExpensesR3,Georgia,30229
familyTotalExpensesR3,Georgia,31014
familyTotalExpensesR3,Georgia,31006
familyTotalExpensesR3,Georgia,31041
familyTotalExpensesR3,Georgia,31820
familyTotalExpensesR3,Georgia,31620
familyTotalExpensesR3,Georgia,31772
familyTotalExpensesR3,Georgia,30806
familyTotalExpensesR3,Georgia,30139
familyTotalExpensesR3,Georgia,31304
familyTotalExpensesR3,Georgia,31301
familyTotalExpensesR3,Georgia,31032
familyTotalExpensesR3,Georgia,31513
familyTotalExpensesR3,Georgia,31004
familyTotalExpensesR3,Georgia,31727
familyTotalExpensesR3,Georgia,30415
familyTotalExpensesR3,Georgia,30236
familyTotalExpensesR3,Georgia,30802
familyTotalExpensesR3,Georgia,30003
